Aircraft Type,"Fuel Consumption, SAR (kg/km/seat)","Fuel Consumption, Extended Payload-Range Diagram (kg/km/seat)","Fuel Consumption, Bathtub Curve (Harmonic Range) (kg/km/seat)","Fuel Consumption, EEA Master Emission Calculator (kg/km/seat)","Fuel Consumption, BADA (kg/km/seat)","Fuel Consumption, Handbook Methods (kg/km/seat)","Fuel Consumption, Literature Review (kg/km/seat)",Travel Cost by Airplane (AUD)
Airbus A220-300,0.01497,0.02123,0.01827,0.027130278,,0.01445,0.019,6.36225
Airbus A319,0.01716,0.0274,0.02239,0.0216,,0.02084,0.02391,7.293
Airbus A320,0.01834,0.02662,0.02093,0.02174,0.01931,0.01981,0.02114,7.7945
Airbus A320neo,0.01391,0.02168,0.01758,0.027130278,,0.01517,0.01819,5.91175
Airbus A321,0.01776,0.02013,0.01611,0.02177,,0.01962,0.02024,7.548
Airbus A321neo,0.01514,0.02037,0.01718,0.027130278,,0.0144,0.01774,6.4345
Airbus A330-200,0.02038,0.0341,0.03012,0.02749,0.025,0.03114,0.0311,8.6615
Airbus A330-300,0.01502,0.02892,0.02527,0.02172,0.0205,0.02633,0.0298,6.3835
Airbus A330-900,0.0141,0.02633,0.0216,0.027130278,,0.02361,0.01935,5.9925
Airbus A350-900,0.01801,0.02479,0.02229,0.0188,,0.02433,0.02449,7.65425
Airbus A380-800,0.02057,0.02953,0.02683,0.02595,,0.02921,0.02556,8.74225
ATR 42,0.02613,0.04085,0.03188,0.03387,0.01589,0.02312,0.02625,11.10525
ATR 72,0.02042,0.03176,0.02191,0.02778,0.01076,0.01828,0.01972,8.6785
Beechcraft 1900D,0.03509,0.05744,0.02105,0.027130278,,0.02787,0.05278,14.91325
Boeing 717-200,0.02229,0.04015,0.02575,0.03103,,0.01278,,9.47325
Boeing 737 Max 8,0.01538,0.02128,0.01747,0.02048,,0.0171,0.01847,6.5365
Boeing 737 MAX 9,0.01517,0.02079,0.01694,0.0194,,0.01654,0.01849,6.44725
Boeing 737-300,0.02164,0.02983,0.02278,0.02791,0.02353,0.02151,0.0277,9.197
Boeing 737-400,0.02231,0.03126,0.02354,0.02601,0.02017,0.02047,,9.48175
Boeing 737-500,0.02327,0.04393,0.03191,0.03106,0.02695,0.02439,,9.88975
Boeing 737-700,0.02079,0.02946,0.02328,0.02482,0.03036,0.0211,0.02241,8.83575
Boeing 737-800,0.01896,0.02714,0.02119,0.02163,0.02428,0.01934,0.01955,8.058
Boeing 737-900,0.01782,0.01778,0.01379,0.02047,,0.01693,0.01901,7.5735
Boeing 747-400,0.02261,0.0343,0.03094,0.02676,0.03129,0.031,0.0267,9.60925
Boeing 757-200,0.02186,0.02939,0.0237,0.02428,0.02069,0.02187,0.01857,9.2905
Boeing 767-300,0.01877,0.02937,0.02341,0.02425,0.02178,0.0255,0.0205,7.97725
Boeing 777-200,0.02087,0.02798,0.0237,0.02491,,0.02702,0.02239,8.86975
Boeing 777-200ER,0.02095,0.02416,0.0203,0.02503,,0.02662,0.02312,8.90375
Boeing 777-300ER,0.02116,0.02961,0.0266,0.02636,,0.02709,0.02181,8.993
Boeing 787-8,0.01912,0.02714,0.0243,0.02291,,0.02435,0.02145,8.126
Boeing 787-9,0.01823,0.02576,0.02297,0.02056,,0.02301,0.02467,7.74775
Boeing MD-80,0.01938,0.03389,0.02364,0.03067,0.02406,0.02293,,8.2365
Bombardier CRJ100,0.02135,0.04673,0.0114,0.027130278,,0.01896,0.0374,9.07375
Bombardier CRJ200,0.02422,0.04488,0.0124,0.027130278,,0.01894,0.036,10.2935
Bombardier CRJ700,0.02035,0.03452,0.01936,0.027130278,,0.0188,0.03523,8.64875
Bombardier CRJ900,0.01982,0.03794,0.02256,0.02859,,0.01863,0.03317,8.4235
Bombardier CRJ1000,0.01744,0.02807,0.01817,0.027130278,,0.01736,0.0266,7.412
De Havilland Canada Dash 8 Q100,0.02698,0.04638,0.01838,0.027130278,0.01686,0.02394,,11.4665
De Havilland Canada Dash 8 Q300 ,0.01896,0.0442,0.0126,0.027130278,0.01182,0.021,,8.058
De Havilland Canada Dash 8 Q400,0.01708,0.02972,0.01341,0.027130278,0.00568,,0.02232,7.259
De Havilland Canada Twin Otter ,0.05134,0.61896,,0.027130278,,,,21.8195
Embraer E170,0.02285,0.0444,0.02662,0.03264,,0.02089,0.03302,9.71125
Embraer E175,0.02266,0.04097,0.02346,0.03166,,0.02098,0.03166,9.6305
Embraer E190,0.02391,0.03881,0.0221,0.03225,,0.01666,0.02862,10.16175
Embraer E195,0.01911,0.03423,0.01645,0.0279,,0.01308,0.02652,8.12175
Embraer E195-E2,0.01851,0.02637,0.02019,0.02563,,0.01843,0.02326,7.86675
Embraer EMB-120 Brasilia,0.02206,0.06207,0.01433,0.05823,0.01777,0.02513,0.03091,9.3755
Embraer ERJ-145,0.02808,0.0398,0.0222,0.0366,,0.01921,0.03123,11.934
Fokker 100,0.02208,0.03902,0.02402,0.03393,0.02219,0.02338,,9.384
Saab 340,0.02678,0.01314,0.01471,0.027130278,,0.02209,0.02981,11.3815
Sukhoi Superjet 100,0.01772,0.04069,0.019,0.027130278,,0.01992,0.02867,7.531
